"Data","ID_Veiculo","KM Percorridos","ValorAbastecimento","ValorManutencao","CustoFixo","CustoTotal"
"1/1/2019","2455","223","R$ 271.40","R$ 104.15","R$ 766.32","R$ 1,141.87"
"1/1/2019","2465","420","R$ 184.00","R$ 73.35","R$ 604.25","R$ 861.59"
"1/1/2019","2475","503","R$ 566.23","R$ 193.09","R$ 1,360.15","R$ 2,119.47"
"1/1/2019","2485","134","R$ 84.05","R$ 37.95","R$ 212.95","R$ 334.95"
"1/1/2019","2495","331","R$ 1,630.57","R$ 739.65","R$ 4,568.62","R$ 6,938.84"
"1/1/2019","2505","409","R$ 379.59","R$ 163.79","R$ 982.01","R$ 1,525.39"
"1/1/2019","2515","717","R$ 804.47","R$ 393.62","R$ 3,175.64","R$ 4,373.72"
"1/1/2019","2525","248","R$ 1,156.50","R$ 463.22","R$ 2,507.77","R$ 4,127.49"
"1/1/2019","2535","204","R$ 188.74","R$ 89.14","R$ 724.58","R$ 1,002.45"
"1/1/2019","2545","774","R$ 1,565.85","R$ 691.25","R$ 4,428.87","R$ 6,685.97"
"1/1/2019","2555","567","R$ 481.64","R$ 194.74","R$ 1,731.22","R$ 2,407.61"
"1/1/2019","2565","692","R$ 1,460.53","R$ 503.10","R$ 3,440.50","R$ 5,404.12"
"1/1/2019","2575","450","R$ 206.51","R$ 71.14","R$ 601.36","R$ 879.01"
"1/1/2019","2585","478","R$ 27.46","R$ 11.80","R$ 97.57","R$ 136.84"
"1/1/2019","2595","352","R$ 253.93","R$ 119.93","R$ 773.19","R$ 1,147.05"
"1/1/2019","2605","372","R$ 761.60","R$ 313.76","R$ 1,976.95","R$ 3,052.31"
"1/1/2019","2615","479","R$ 455.85","R$ 169.94","R$ 1,196.18","R$ 1,821.96"
"1/1/2019","2625","770","R$ 410.46","R$ 152.27","R$ 1,268.63","R$ 1,831.36"
"1/1/2019","2635","381","R$ 197.37","R$ 95.31","R$ 481.08","R$ 773.76"
"1/1/2019","2645","446","R$ 2,523.77","R$ 856.29","R$ 8,032.11","R$ 11,412.17"
"1/1/2019","2655","125","R$ 477.06","R$ 154.58","R$ 1,420.55","R$ 2,052.19"
"1/1/2019","2665","351","R$ 114.30","R$ 43.24","R$ 329.01","R$ 486.55"
"1/1/2019","2675","635","R$ 1,306.74","R$ 480.07","R$ 2,726.76","R$ 4,513.56"
"1/1/2019","2685","391","R$ 649.01","R$ 261.17","R$ 1,799.30","R$ 2,709.48"
"1/1/2019","2695","539","R$ 647.01","R$ 241.21","R$ 1,497.75","R$ 2,385.97"
"1/1/2019","2705","565","R$ 391.47","R$ 146.64","R$ 991.96","R$ 1,530.07"
"1/1/2019","2715","810","R$ 386.88","R$ 186.82","R$ 922.77","R$ 1,496.47"
"1/1/2019","2725","238","R$ 211.98","R$ 103.72","R$ 501.39","R$ 817.09"
"1/1/2019","2735","0","R$ 3.94","R$ 1.70","R$ 11.10","R$ 16.74"
"1/1/2019","2745","227","R$ 1,345.41","R$ 501.55","R$ 3,482.45","R$ 5,329.41"
"1/1/2019","2755","503","R$ 2,006.94","R$ 939.42","R$ 4,715.59","R$ 7,661.95"
"1/1/2019","2765","582","R$ 5,511.67","R$ 1,785.89","R$ 12,009.10","R$ 19,306.67"
"1/1/2019","2775","597","R$ 297.78","R$ 106.22","R$ 863.08","R$ 1,267.08"
"1/1/2019","2785","109","R$ 55.87","R$ 18.57","R$ 148.01","R$ 222.45"
"1/1/2019","2795","487","R$ 172.04","R$ 69.89","R$ 436.72","R$ 678.65"
"1/1/2019","2805","354","R$ 39.98","R$ 16.62","R$ 131.70","R$ 188.31"
"1/1/2019","2815","174","R$ 450.59","R$ 211.86","R$ 1,064.94","R$ 1,727.39"
"1/1/2019","2825","400","R$ 399.29","R$ 166.82","R$ 1,050.47","R$ 1,616.58"
"1/1/2019","2835","236","R$ 350.98","R$ 114.32","R$ 1,217.45","R$ 1,682.75"
"1/1/2019","2845","387","R$ 464.16","R$ 160.68","R$ 1,061.51","R$ 1,686.35"
"1/1/2019","2855","543","R$ 1,525.49","R$ 720.45","R$ 4,801.19","R$ 7,047.14"
"1/1/2019","2865","679","R$ 249.83","R$ 106.81","R$ 746.58","R$ 1,103.23"
"1/1/2019","2875","475","R$ 1,299.76","R$ 627.62","R$ 3,266.42","R$ 5,193.79"
"1/1/2019","2885","425","R$ 1,847.51","R$ 639.60","R$ 4,791.40","R$ 7,278.52"
"1/1/2019","2895","346","R$ 205.08","R$ 69.58","R$ 524.13","R$ 798.79"
"1/1/2019","2905","743","R$ 887.27","R$ 411.63","R$ 2,926.61","R$ 4,225.51"
"1/1/2019","2915","318","R$ 983.80","R$ 342.30","R$ 2,626.62","R$ 3,952.72"
"1/1/2019","2925","310","R$ 455.47","R$ 180.72","R$ 1,516.12","R$ 2,152.32"
"1/1/2019","2935","341","R$ 1,041.22","R$ 451.34","R$ 2,734.28","R$ 4,226.83"
"1/1/2019","2945","373","R$ 187.89","R$ 65.05","R$ 431.61","R$ 684.55"
"1/1/2019","2955","716","R$ 1,009.52","R$ 346.00","R$ 2,647.20","R$ 4,002.73"
"1/1/2019","2965","254","R$ 1,183.74","R$ 544.25","R$ 2,912.81","R$ 4,640.80"
"1/1/2019","2975","592","R$ 1,236.19","R$ 586.42","R$ 3,699.70","R$ 5,522.31"
"1/1/2019","2985","480","R$ 300.02","R$ 137.95","R$ 1,067.94","R$ 1,505.91"
"1/1/2019","2995","371","R$ 179.14","R$ 66.14","R$ 424.62","R$ 669.90"
"1/1/2019","3005","302","R$ 391.90","R$ 151.11","R$ 873.32","R$ 1,416.33"
"1/1/2019","3015","379","R$ 668.84","R$ 327.26","R$ 1,652.06","R$ 2,648.16"
"1/1/2019","3025","242","R$ 280.22","R$ 112.76","R$ 891.63","R$ 1,284.61"
"1/1/2019","3035","373","R$ 1,113.10","R$ 377.66","R$ 3,783.81","R$ 5,274.56"
"1/1/2019","3045","413","R$ 1,007.06","R$ 369.98","R$ 2,667.92","R$ 4,044.96"
"1/1/2019","3055","1090","R$ 2,815.02","R$ 1,181.49","R$ 7,621.50","R$ 11,618.01"
"1/1/2019","3065","481","R$ 1,117.20","R$ 511.37","R$ 2,506.47","R$ 4,135.03"
"1/1/2019","3075","390","R$ 249.03","R$ 105.00","R$ 657.04","R$ 1,011.07"
"1/1/2019","3085","299","R$ 50.34","R$ 19.69","R$ 127.46","R$ 197.49"
"1/1/2019","3095","632","R$ 426.38","R$ 152.84","R$ 988.98","R$ 1,568.21"
"1/1/2019","3105","254","R$ 887.08","R$ 322.72","R$ 1,902.13","R$ 3,111.93"
"1/1/2019","3115","430","R$ 520.68","R$ 217.52","R$ 1,787.65","R$ 2,525.84"
"1/1/2019","3125","731","R$ 1,247.04","R$ 599.49","R$ 3,547.08","R$ 5,393.61"
"1/1/2019","3135","252","R$ 95.93","R$ 36.81","R$ 243.70","R$ 376.44"
"1/1/2019","3145","345","R$ 2,259.58","R$ 1,006.61","R$ 5,383.30","R$ 8,649.49"
"1/1/2019","3155","542","R$ 173.79","R$ 85.03","R$ 420.03","R$ 678.85"
"1/1/2019","3165","481","R$ 584.82","R$ 234.24","R$ 1,904.41","R$ 2,723.47"
"1/1/2019","3175","715","R$ 279.76","R$ 106.85","R$ 770.62","R$ 1,157.23"
"1/1/2019","3185","500","R$ 163.02","R$ 70.98","R$ 454.83","R$ 688.84"
"1/1/2019","3195","522","R$ 538.14","R$ 211.50","R$ 1,180.33","R$ 1,929.98"
"1/1/2019","3205","223","R$ 77.27","R$ 28.81","R$ 227.89","R$ 333.97"
"1/1/2019","3215","324","R$ 594.44","R$ 203.74","R$ 1,211.36","R$ 2,009.54"
"1/1/2019","3225","141","R$ 19.25","R$ 8.42","R$ 60.50","R$ 88.16"
"1/1/2019","3235","209","R$ 64.49","R$ 29.78","R$ 192.15","R$ 286.42"
"1/1/2019","3245","612","R$ 454.57","R$ 154.23","R$ 1,491.01","R$ 2,099.81"
"1/1/2019","3255","403","R$ 89.15","R$ 32.75","R$ 242.82","R$ 364.72"
"1/1/2019","3265","696","R$ 313.19","R$ 144.64","R$ 1,026.47","R$ 1,484.30"
"1/1/2019","3275","644","R$ 1,738.81","R$ 746.82","R$ 6,052.87","R$ 8,538.50"
"1/1/2019","3285","521","R$ 823.74","R$ 292.37","R$ 2,151.14","R$ 3,267.25"
"1/1/2019","3295","438","R$ 190.64","R$ 66.33","R$ 410.72","R$ 667.69"
"1/1/2019","3305","495","R$ 168.48","R$ 64.96","R$ 377.08","R$ 610.53"
"1/1/2019","3315","609","R$ 1,157.61","R$ 554.04","R$ 2,625.45","R$ 4,337.10"
"1/1/2019","3325","937","R$ 1,343.97","R$ 579.90","R$ 2,944.90","R$ 4,868.77"
"1/1/2019","3335","346","R$ 238.74","R$ 89.00","R$ 550.23","R$ 877.98"
"1/1/2019","3345","493","R$ 756.95","R$ 244.00","R$ 1,961.72","R$ 2,962.67"
"1/1/2019","3355","328","R$ 188.31","R$ 61.65","R$ 605.65","R$ 855.61"
"1/1/2019","3365","425","R$ 401.26","R$ 170.76","R$ 1,274.20","R$ 1,846.22"
"1/1/2019","3375","300","R$ 1,299.08","R$ 550.30","R$ 3,181.62","R$ 5,031.00"
"1/1/2019","3385","349","R$ 135.30","R$ 44.29","R$ 485.02","R$ 664.60"
"1/1/2019","3395","436","R$ 446.80","R$ 159.37","R$ 1,288.87","R$ 1,895.04"
"1/1/2019","3405","417","R$ 836.32","R$ 352.64","R$ 2,998.99","R$ 4,187.95"
"1/1/2019","3415","663","R$ 1,581.84","R$ 676.29","R$ 4,043.95","R$ 6,302.09"
"1/1/2019","3425","717","R$ 2,153.95","R$ 1,021.79","R$ 7,632.83","R$ 10,808.56"
"1/1/2019","3435","368","R$ 462.46","R$ 221.33","R$ 1,381.81","R$ 2,065.61"
"1/1/2019","3445","405","R$ 526.23","R$ 202.91","R$ 1,874.24","R$ 2,603.39"
"1/1/2019","3455","359","R$ 126.57","R$ 58.45","R$ 462.79","R$ 647.81"
"1/1/2019","3465","713","R$ 697.42","R$ 309.28","R$ 2,266.18","R$ 3,272.87"
"1/1/2019","3475","293","R$ 163.19","R$ 73.03","R$ 389.37","R$ 625.59"
"1/1/2019","3485","340","R$ 574.92","R$ 196.05","R$ 1,174.98","R$ 1,945.95"
"1/1/2019","3495","263","R$ 31.18","R$ 10.37","R$ 85.34","R$ 126.88"
"1/1/2019","3505","457","R$ 2,126.01","R$ 721.33","R$ 5,743.07","R$ 8,590.41"
"1/1/2019","3515","403","R$ 863.07","R$ 284.01","R$ 1,871.79","R$ 3,018.87"
"1/1/2019","3525","276","R$ 108.05","R$ 44.11","R$ 284.80","R$ 436.95"
"1/1/2019","3535","269","R$ 357.31","R$ 162.08","R$ 996.55","R$ 1,515.93"
"1/1/2019","3545","57","R$ 1,147.42","R$ 379.52","R$ 2,661.62","R$ 4,188.56"
"1/1/2019","3555","314","R$ 279.98","R$ 95.00","R$ 913.72","R$ 1,288.69"
"1/1/2019","3565","74","R$ 42.01","R$ 17.89","R$ 97.79","R$ 157.68"
"1/1/2019","3575","195","R$ 398.06","R$ 178.14","R$ 917.41","R$ 1,493.61"
"1/1/2019","3585","402","R$ 779.49","R$ 361.62","R$ 2,825.57","R$ 3,966.68"
"1/1/2019","3595","230","R$ 59.19","R$ 19.48","R$ 200.59","R$ 279.26"
"1/1/2019","3605","388","R$ 184.35","R$ 73.49","R$ 663.17","R$ 921.02"
"1/1/2019","3615","292","R$ 183.88","R$ 87.62","R$ 531.10","R$ 802.60"
"1/1/2019","3625","349","R$ 1,180.53","R$ 404.60","R$ 3,304.63","R$ 4,889.76"
"1/1/2019","3635","185","R$ 102.77","R$ 45.37","R$ 247.35","R$ 395.49"
"1/1/2019","3645","481","R$ 627.82","R$ 217.35","R$ 2,179.44","R$ 3,024.60"
"1/1/2019","3655","186","R$ 277.95","R$ 131.27","R$ 681.18","R$ 1,090.39"
"1/1/2019","3665","199","R$ 318.46","R$ 138.04","R$ 1,117.46","R$ 1,573.96"
"1/1/2019","3675","234","R$ 726.84","R$ 259.27","R$ 2,096.69","R$ 3,082.79"
"1/1/2019","3685","52","R$ 14.30","R$ 6.28","R$ 37.53","R$ 58.11"
"1/1/2019","3695","624","R$ 390.41","R$ 185.21","R$ 1,418.77","R$ 1,994.39"
"1/1/2019","3705","311","R$ 262.08","R$ 87.57","R$ 718.39","R$ 1,068.04"
"1/1/2019","3725","222","R$ 402.24","R$ 151.41","R$ 1,506.98","R$ 2,060.63"
"1/1/2019","3735","489","R$ 1,577.16","R$ 508.40","R$ 3,372.55","R$ 5,458.11"
"1/1/2019","3745","235","R$ 228.30","R$ 99.41","R$ 670.33","R$ 998.04"
"1/1/2019","3755","422","R$ 146.15","R$ 56.08","R$ 304.92","R$ 507.15"
"1/1/2019","3765","538","R$ 1,373.34","R$ 454.25","R$ 4,091.69","R$ 5,919.28"
"1/1/2019","3775","157","R$ 493.38","R$ 184.82","R$ 1,614.52","R$ 2,292.73"
"1/1/2019","3785","551","R$ 266.10","R$ 94.45","R$ 691.70","R$ 1,052.25"
"1/1/2019","3795","215","R$ 77.89","R$ 32.69","R$ 251.10","R$ 361.67"
"1/1/2019","3805","259","R$ 731.21","R$ 279.26","R$ 1,923.56","R$ 2,934.03"
"1/1/2019","3815","331","R$ 926.53","R$ 388.88","R$ 2,752.68","R$ 4,068.09"
"1/1/2019","3825","391","R$ 676.42","R$ 305.45","R$ 1,927.49","R$ 2,909.36"
"1/1/2019","3835","211","R$ 39.44","R$ 16.17","R$ 90.71","R$ 146.32"
"1/1/2019","3845","201","R$ 158.38","R$ 65.25","R$ 474.51","R$ 698.14"
"1/1/2019","3855","466","R$ 705.38","R$ 266.81","R$ 2,434.69","R$ 3,406.88"
"1/1/2019","3875","117","R$ 698.56","R$ 297.29","R$ 1,625.66","R$ 2,621.50"
"1/1/2019","3885","108","R$ 221.25","R$ 75.07","R$ 647.85","R$ 944.17"
"1/1/2019","3895","230","R$ 477.31","R$ 229.45","R$ 1,079.56","R$ 1,786.32"
"1/1/2019","3905","264","R$ 670.94","R$ 273.84","R$ 2,062.66","R$ 3,007.44"
"1/1/2019","3915","444","R$ 247.22","R$ 87.31","R$ 832.50","R$ 1,167.03"
"1/1/2019","3925","242","R$ 96.29","R$ 37.31","R$ 262.69","R$ 396.28"
"1/1/2019","3935","471","R$ 280.02","R$ 118.06","R$ 983.83","R$ 1,381.91"
"1/1/2019","3945","522","R$ 1,525.32","R$ 631.33","R$ 4,386.40","R$ 6,543.05"
"1/1/2019","3955","97","R$ 82.17","R$ 33.53","R$ 195.43","R$ 311.12"
"1/1/2019","3965","206","R$ 65.14","R$ 24.76","R$ 160.65","R$ 250.56"
"1/1/2019","3975","218","R$ 1,995.30","R$ 663.36","R$ 4,084.81","R$ 6,743.47"
"1/1/2019","3985","231","R$ 122.87","R$ 47.37","R$ 458.68","R$ 628.92"
"1/1/2019","3995","237","R$ 1,148.83","R$ 477.71","R$ 2,456.36","R$ 4,082.90"
"1/1/2019","4005","258","R$ 676.12","R$ 256.98","R$ 1,533.23","R$ 2,466.32"
"1/1/2019","4015","322","R$ 6,519.81","R$ 2,314.13","R$ 14,948.40","R$ 23,782.34"
"1/1/2019","4025","421","R$ 6,440.13","R$ 2,778.81","R$ 13,991.66","R$ 23,210.59"
"1/1/2019","4035","406","R$ 769.08","R$ 300.84","R$ 1,887.37","R$ 2,957.29"
"1/1/2019","4045","264","R$ 408.35","R$ 196.31","R$ 1,483.23","R$ 2,087.89"
"1/1/2019","4055","216","R$ 102.20","R$ 35.38","R$ 233.71","R$ 371.30"
"1/1/2019","4075","575","R$ 371.28","R$ 139.08","R$ 834.73","R$ 1,345.08"
"1/1/2019","4085","160","R$ 52.98","R$ 25.92","R$ 173.73","R$ 252.63"
"1/1/2019","4095","222","R$ 171.37","R$ 68.31","R$ 560.00","R$ 799.68"
"1/1/2019","4105","38","R$ 954.00","R$ 454.58","R$ 2,245.50","R$ 3,654.08"
"1/1/2019","4115","366","R$ 712.03","R$ 311.48","R$ 2,779.07","R$ 3,802.58"
"1/1/2019","4125","240","R$ 118.55","R$ 39.81","R$ 361.64","R$ 520.00"
"1/1/2019","4135","337","R$ 131.36","R$ 54.63","R$ 361.17","R$ 547.16"
"1/1/2019","4145","333","R$ 284.97","R$ 125.22","R$ 633.51","R$ 1,043.71"
"1/1/2019","4155","335","R$ 971.66","R$ 405.93","R$ 2,544.71","R$ 3,922.30"
"1/1/2019","4165","419","R$ 77.13","R$ 32.67","R$ 278.43","R$ 388.23"
"1/1/2019","4175","338","R$ 987.82","R$ 320.08","R$ 2,927.13","R$ 4,235.03"
"1/1/2019","4185","379","R$ 1,566.48","R$ 601.13","R$ 4,281.23","R$ 6,448.84"
"1/1/2019","4195","482","R$ 489.14","R$ 195.92","R$ 1,487.94","R$ 2,173.01"
"1/1/2019","4205","367","R$ 433.95","R$ 188.97","R$ 1,604.92","R$ 2,227.84"
"1/1/2019","4215","350","R$ 4,219.49","R$ 1,922.68","R$ 11,416.76","R$ 17,558.93"
"1/1/2019","4225","223","R$ 89.75","R$ 38.01","R$ 277.79","R$ 405.55"
"1/1/2019","4235","230","R$ 223.77","R$ 74.78","R$ 525.13","R$ 823.68"
"1/1/2019","4245","357","R$ 115.87","R$ 47.52","R$ 315.76","R$ 479.16"
"1/1/2019","4255","254","R$ 165.16","R$ 61.87","R$ 617.87","R$ 844.89"
"1/1/2019","4265","49","R$ 0.49","R$ 0.23","R$ 1.31","R$ 2.02"
"1/1/2019","4275","66","R$ 14.18","R$ 4.59","R$ 44.77","R$ 63.54"
"1/1/2019","4285","207","R$ 213.75","R$ 75.49","R$ 535.05","R$ 824.30"
"1/1/2019","4295","252","R$ 337.02","R$ 164.18","R$ 1,067.03","R$ 1,568.24"
"1/1/2019","4305","444","R$ 137.41","R$ 53.50","R$ 473.52","R$ 664.44"
"1/1/2019","4315","199","R$ 83.79","R$ 38.36","R$ 226.04","R$ 348.18"
"1/1/2019","4325","645","R$ 320.06","R$ 106.40","R$ 950.26","R$ 1,376.72"
"1/1/2019","4335","781","R$ 3,006.31","R$ 1,061.76","R$ 8,485.56","R$ 12,553.64"
"1/1/2019","4345","500","R$ 1,581.16","R$ 743.43","R$ 6,060.95","R$ 8,385.54"
"1/1/2019","4355","929","R$ 814.63","R$ 284.86","R$ 2,108.85","R$ 3,208.34"
"1/1/2019","4365","243","R$ 1,641.56","R$ 556.96","R$ 3,497.28","R$ 5,695.81"
"1/1/2019","4375","955","R$ 2,206.48","R$ 806.67","R$ 8,153.66","R$ 11,166.82"
"1/1/2019","4385","438","R$ 109.37","R$ 42.58","R$ 363.79","R$ 515.74"
"1/1/2019","4395","498","R$ 2,558.84","R$ 1,219.27","R$ 6,903.25","R$ 10,681.36"
"1/1/2019","4405","1229","R$ 877.82","R$ 305.42","R$ 2,588.05","R$ 3,771.28"
"1/1/2019","4415","291","R$ 400.67","R$ 179.31","R$ 1,534.51","R$ 2,114.49"
"1/1/2019","4425","1402","R$ 1,930.77","R$ 737.38","R$ 4,704.58","R$ 7,372.73"
"1/1/2019","4435","362","R$ 1,438.77","R$ 655.61","R$ 4,074.51","R$ 6,168.89"
"1/1/2019","4445","662","R$ 5,073.55","R$ 2,129.42","R$ 15,435.31","R$ 22,638.28"
"1/1/2019","4455","669","R$ 134.66","R$ 62.19","R$ 416.65","R$ 613.51"
"1/1/2019","4465","495","R$ 412.76","R$ 135.13","R$ 1,471.85","R$ 2,019.74"
"1/1/2019","4475","760","R$ 1,809.49","R$ 755.94","R$ 5,796.50","R$ 8,361.94"
"1/1/2019","4485","640","R$ 742.27","R$ 294.50","R$ 2,219.32","R$ 3,256.09"
"1/1/2019","4495","231","R$ 244.74","R$ 118.69","R$ 621.43","R$ 984.86"
"1/1/2019","4505","848","R$ 3,974.54","R$ 1,321.36","R$ 10,148.54","R$ 15,444.43"
"1/1/2019","4515","250","R$ 99.74","R$ 36.47","R$ 213.23","R$ 349.44"
"1/1/2019","4525","796","R$ 1,427.99","R$ 489.42","R$ 3,063.89","R$ 4,981.30"
"1/1/2019","4535","493","R$ 672.28","R$ 288.74","R$ 2,352.05","R$ 3,313.06"
"1/1/2019","4545","712","R$ 17,423.47","R$ 6,654.18","R$ 41,523.56","R$ 65,601.20"
"1/1/2019","4555","200","R$ 1,798.66","R$ 670.53","R$ 4,390.79","R$ 6,859.99"
"1/1/2019","4565","1058","R$ 2,698.21","R$ 1,257.38","R$ 8,658.34","R$ 12,613.93"
"1/1/2019","4575","1367","R$ 1,297.97","R$ 467.58","R$ 3,311.77","R$ 5,077.32"
"1/1/2019","4585","954","R$ 422.55","R$ 145.56","R$ 896.21","R$ 1,464.31"
"1/1/2019","4595","596","R$ 2,011.84","R$ 794.47","R$ 5,017.99","R$ 7,824.30"
"1/1/2019","4605","237","R$ 754.62","R$ 340.77","R$ 1,671.08","R$ 2,766.47"
"1/1/2019","4615","518","R$ 296.48","R$ 102.64","R$ 1,067.57","R$ 1,466.69"
"1/1/2019","4625","641","R$ 6,962.12","R$ 3,332.14","R$ 23,322.35","R$ 33,616.61"
"1/1/2019","4635","1001","R$ 1,220.74","R$ 521.90","R$ 4,754.79","R$ 6,497.43"
"1/1/2019","4645","378","R$ 1,127.62","R$ 386.46","R$ 2,652.62","R$ 4,166.70"
"1/1/2019","4655","173","R$ 809.25","R$ 372.09","R$ 2,156.94","R$ 3,338.28"
"1/1/2019","4665","316","R$ 143.89","R$ 64.09","R$ 504.32","R$ 712.30"
"1/1/2019","4675","740","R$ 3,236.48","R$ 1,371.00","R$ 7,856.98","R$ 12,464.46"
"1/1/2019","4685","724","R$ 1,494.58","R$ 690.27","R$ 3,619.40","R$ 5,804.25"
"1/1/2019","4695","546","R$ 2,760.84","R$ 1,158.75","R$ 10,039.42","R$ 13,959.00"
"1/1/2019","4705","1263","R$ 1,812.58","R$ 771.37","R$ 4,929.01","R$ 7,512.96"
"1/1/2019","4715","894","R$ 1,385.67","R$ 608.93","R$ 3,859.84","R$ 5,854.44"
"1/1/2019","4725","577","R$ 1,246.87","R$ 449.17","R$ 4,492.41","R$ 6,188.45"
"1/1/2019","4735","541","R$ 265.96","R$ 92.53","R$ 713.35","R$ 1,071.83"
"1/1/2019","4745","498","R$ 207.32","R$ 92.35","R$ 642.90","R$ 942.57"
"1/1/2019","4755","397","R$ 873.48","R$ 410.69","R$ 2,894.20","R$ 4,178.37"
"1/1/2019","4765","382","R$ 252.69","R$ 101.69","R$ 807.99","R$ 1,162.37"
"1/1/2019","4775","852","R$ 2,309.29","R$ 1,124.97","R$ 5,202.67","R$ 8,636.93"
"1/1/2019","4785","277","R$ 135.97","R$ 58.94","R$ 518.08","R$ 712.99"
"1/1/2019","4795","509","R$ 786.09","R$ 367.97","R$ 2,563.15","R$ 3,717.20"
"1/1/2019","4805","558","R$ 377.20","R$ 129.93","R$ 999.66","R$ 1,506.79"
"1/1/2019","4815","782","R$ 10,300.01","R$ 3,441.83","R$ 21,115.00","R$ 34,856.84"
"1/1/2019","4825","848","R$ 1,015.31","R$ 444.13","R$ 2,373.40","R$ 3,832.84"
"1/1/2019","4835","610","R$ 347.91","R$ 133.50","R$ 904.09","R$ 1,385.51"
"1/1/2019","4845","940","R$ 2,469.94","R$ 1,171.69","R$ 6,278.99","R$ 9,920.62"
